"","lhs","op","rhs","mi","epc","sepc.lv","sepc.all","sepc.nox"
"187","Item_2","~~","Item_4",188.986240052528,2.07426088521556,2.07426088521556,0.894540239433609,0.894540239433609
"384","Item_8","~~","Item_18",97.5300895108473,0.526327524675389,0.526327524675389,0.790448383503803,0.790448383503803
"533","Item_14","~~","Item_20",63.03869410667,0.781113307872039,0.781113307872039,0.529919303766624,0.529919303766624
"161","Item_1","~~","Item_12",47.3929246354255,0.688181859104748,0.688181859104748,0.46048084808072,0.46048084808072
"162","Item_1","~~","Item_13",45.6461543910185,0.58896694749067,0.58896694749067,0.454618283318506,0.454618283318506
"481","Item_12","~~","Item_13",42.4853166598171,0.551877540971881,0.551877540971881,0.43616418990384,0.43616418990384
"767","Item_31","~~","Item_33",37.2921966141759,0.20145167844417,0.20145167844417,0.410515938406706,0.410515938406706
"758","Item_29","~~","Item_35",35.0553222287393,0.250564052754859,0.250564052754859,0.462667139772646,0.462667139772646
"323","Item_6","~~","Item_14",31.3710700614544,0.482203591235114,0.482203591235114,0.374847737108688,0.374847737108688
"768","Item_31","~~","Item_34",27.585783155825,0.200107968278736,0.200107968278736,0.354425614439695,0.354425614439695
"642","Item_19","~~","Item_34",26.6269456478679,0.247490975495817,0.247490975495817,0.348057603948366,0.348057603948366
"165","Item_1","~~","Item_16",26.3062436254855,0.407141538943144,0.407141538943144,0.348550820090417,0.348550820090417
"262","Item_4","~~","Item_14",25.5139498080303,-0.606554693184406,-0.606554693184406,-0.333438905170236,-0.333438905170236
"456","Item_11","~~","Item_12",24.2013706498673,0.453018580816214,0.453018580816214,0.323444911944079,0.323444911944079
"775","Item_33","~~","Item_34",24.0911934010875,0.163686179319371,0.163686179319371,0.32445693494671,0.32445693494671
"385","Item_8","~~","Item_19",23.9408813127494,-0.280595327439439,-0.280595327439439,-0.363550397201981,-0.363550397201981
"197","Item_2","~~","Item_14",22.4397375417414,-0.55156218544757,-0.55156218544757,-0.313330875694175,-0.313330875694175
"357","Item_7","~~","Item_19",22.4069844537178,0.276943944074939,0.276943944074939,0.319036956139135,0.319036956139135
"403","Item_9","~~","Item_10",22.2976047726318,0.556067063906303,0.556067063906303,0.311348417987584,0.311348417987584
"716","Item_25","~~","Item_27",21.5908331596586,0.436718243963426,0.436718243963426,0.327112399609358,0.327112399609358
"651","Item_20","~~","Item_27",21.5562155632636,0.452490533679694,0.452490533679694,0.314543856149978,0.314543856149978
